geoid,cbsa_name,total1970,totalwhite,percent_white
10180,"Abilene, TX",122164,115388,0.9445335778134312
10420,"Akron, OH",679239,623076,0.9173148184954044
10500,"Albany, GA",122869,76392,0.6217353441470184
10540,"Albany-Lebanon, OR",71914,71271,0.9910587646355369
10580,"Albany-Schenectady-Troy, NY",746660,719856,0.9641014651916535
10740,"Albuquerque, NM",379095,350611,0.9248631609491025
10780,"Alexandria, LA",131749,95402,0.7241193481544452
10900,"Allentown-Bethlehem-Easton, PA-NJ",594124,586271,0.9867822205465526
11020,"Altoona, PA",135356,134161,0.9911714294157629
11100,"Amarillo, TX",154907,146988,0.9488790048222482
11180,"Ames, IA",89253,88191,0.9881012402944439
11260,"Anchorage, AK",131051,119154,0.9092185485040175
11460,"Ann Arbor, MI",234103,213350,0.9113509865315694
11500,"Anniston-Oxford, AL",103092,85186,0.8263104799596477
11540,"Appleton, WI",146960,145549,0.9903987479586281
11700,"Asheville, NC",245573,229423,0.9342354411926392
12020,"Athens-Clarke County, GA",94207,74905,0.7951107667158491
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1852235,1438950,0.776872265128345
12100,"Atlantic City-Hammonton, NJ",175043,143427,0.8193815233971081
12220,"Auburn-Opelika, AL",61268,44109,0.7199353659332768
12260,"Augusta-Richmond County, GA-SC",330905,225919,0.6827306930992278
12420,"Austin-Round Rock-Georgetown, TX",398938,348693,0.8740531110097308
12540,"Bakersfield, CA",329162,300315,0.912362301845292
12580,"Baltimore-Columbia-Towson, MD",2089092,1583228,0.7578546086050781
12620,"Bangor, ME",125393,124171,0.9902546394136834
12700,"Barnstable Town, MA",96656,93474,0.9670791259725211
12940,"Baton Rouge, LA",487000,327128,0.6717207392197125
12980,"Battle Creek, MI",141963,129399,0.9114980663975825
13020,"Bay City, MI",117339,116195,0.9902504708579415
13140,"Beaumont-Port Arthur, TX",345939,273416,0.790358993926675
13220,"Beckley, WV",119412,106950,0.8956386292834891
13380,"Bellingham, WA",81950,79257,0.9671384990848078
13460,"Bend, OR",30442,30222,0.9927731423690953
13740,"Billings, MT",99079,97382,0.9828722534543143
13780,"Binghamton, NY",268328,264775,0.9867587430309174
13820,"Birmingham-Hoover, AL",776829,550964,0.7092474663021077
13900,"Bismarck, ND",63346,62718,0.9900861932876582
13980,"Blacksburg-Christiansburg, VA",105058,100638,0.957928001675265
14010,"Bloomington, IL",104389,102014,0.9772485606721014
14020,"Bloomington, IN",97012,94625,0.9753947965200181
14100,"Bloomsburg-Berwick, PA",71622,71382,0.9966490743067773
14260,"Boise City, ID",191090,188416,0.9860065937516354
14460,"Boston-Cambridge-Newton, MA-NH",3918092,3752879,0.9578333025360303
14500,"Boulder, CO",131889,129817,0.9842898194694023
14540,"Bowling Green, KY",88504,82981,0.9375960408569104
14740,"Bremerton-Silverdale-Port Orchard, WA",101732,97695,0.9603173042897023
14860,"Bridgeport-Stamford-Norwalk, CT",792814,732304,0.9236769280058122
15180,"Brownsville-Harlingen, TX",140368,138862,0.9892710589308105
15260,"Brunswick, GA",63839,46837,0.733673773085418
15380,"Buffalo-Cheektowaga, NY",1349211,1230787,0.9122272202049939
15500,"Burlington, NC",96362,79114,0.8210082812727009
15540,"Burlington-South Burlington, VT",133987,133222,0.9942904908685171
15680,"California-Lexington Park, MD",47388,38758,0.8178863847387524
15940,"Canton-Massillon, OH",393789,371269,0.9428120135402461
15980,"Cape Coral-Fort Myers, FL",105216,92806,0.8820521593673966
16020,"Cape Girardeau, MO-IL",70185,65175,0.9286172259029707
16060,"Carbondale-Marion, IL",111579,106266,0.9523835130266448
16180,"Carson City, NV",15468,14611,0.9445952935091803
16220,"Casper, WY",51264,50419,0.983516697877653
16300,"Cedar Rapids, IA",205966,203456,0.9878135226202382
16540,"Chambersburg-Waynesboro, PA",100833,98829,0.9801255541340632
16580,"Champaign-Urbana, IL",178790,165831,0.9275183175792829
16620,"Charleston, WV",303778,289813,0.9540289290205347
16700,"Charleston-North Charleston, SC",336125,228236,0.6790211974711788
16740,"Charlotte-Concord-Gastonia, NC-SC",1009171,798027,0.7907748042700394
16820,"Charlottesville, VA",101231,83380,0.8236607363357075
16860,"Chattanooga, TN-GA",370016,319003,0.8621329888437257
16940,"Cheyenne, WY",56360,54239,0.9623669268985096
16980,"Chicago-Naperville-Elgin, IL-IN-WI",7886829,6461712,0.819304184229175
17020,"Chico, CA",101969,98222,0.9632535378399317
17140,"Cincinnati, OH-KY-IN",1696816,1528028,0.9005266334122262
17300,"Clarksville, TN-KY",134884,109507,0.8118605616678034
17420,"Cleveland, TN",62355,59965,0.9616710768984043
17460,"Cleveland-Elyria, OH",2321037,1960864,0.8448223789625069
17660,"Coeur d'Alene, ID",35332,35059,0.9922732933318238
17780,"College Station-Bryan, TX",82366,64363,0.7814268023213462
17820,"Colorado Springs, CO",239288,224066,0.9363862792952425
17860,"Columbia, MO",106204,98953,0.9317257353771986
17900,"Columbia, SC",402914,282571,0.7013183954888637
17980,"Columbus, GA-AL",268339,181988,0.6782018267937199
18020,"Columbus, IN",57022,56396,0.9890217810669566
18140,"Columbus, OH",1218536,1103494,0.9055899866725317
18580,"Corpus Christi, TX",284832,270090,0.9482431749241659
18700,"Corvallis, OR",53776,52219,0.9710465635227611
18880,"Crestview-Fort Walton Beach-Destin, FL",104274,95484,0.9157028597732896
19060,"Cumberland, MD-WV",107153,105261,0.9823430048622064
19100,"Dallas-Fort Worth-Arlington, TX",2419559,2065472,0.8536563894494823
19140,"Dalton, GA",68094,65814,0.9665168737333686
19180,"Danville, IL",97047,90979,0.9374735952682721
19300,"Daphne-Fairhope-Foley, AL",59382,48650,0.8192718332154525
19340,"Davenport-Moline-Rock Island, IA-IL",379932,366498,0.9646410410283945
19430,"Dayton-Kettering, OH",815547,719347,0.8820423592999546
19460,"Decatur, AL",104587,92165,0.8812280684979968
19500,"Decatur, IL",125010,114899,0.9191184705223582
19660,"Deltona-Daytona Beach-Ormond Beach, FL",173941,148153,0.8517428323397014
19740,"Denver-Aurora-Lakewood, CO",1116226,1051198,0.9417429803641915
19780,"Des Moines-West Des Moines, IA",398844,385407,0.9663101362938893
19820,"Detroit-Warren-Dearborn, MI",4431390,3646793,0.8229456220283027
20020,"Dothan, AL",91752,70005,0.7629806434737118
20100,"Dover, DE",81892,67857,0.8286157378010062
20220,"Dubuque, IA",90609,90359,0.997240892185103
20260,"Duluth, MN-WI",306773,302766,0.9869382246807901
20500,"Durham-Chapel Hill, NC",278618,192465,0.6907845149990309
20700,"East Stroudsburg, PA",45422,44689,0.9838624455109859
20740,"Eau Claire, WI",114936,114471,0.9959542702025475
20940,"El Centro, CA",74492,68806,0.9236696558019654
21060,"Elizabethtown-Fort Knox, KY",107889,99148,0.9189815458480475
21140,"Elkhart-Goshen, IN",126529,121725,0.9620324194453446
21300,"Elmira, NY",101537,97928,0.964456306568049
21340,"El Paso, TX",361683,347636,0.9611621226322498
21420,"Enid, OK",55365,52696,0.9517926487853337
21500,"Erie, PA",263654,254183,0.9640779203046417
21660,"Eugene-Springfield, OR",213358,210262,0.9854891778138153
21780,"Evansville, IN-KY",254515,240361,0.9443883464628804
21820,"Fairbanks, AK",45864,40933,0.892486481772196
22020,"Fargo, ND-MN",120238,119387,0.9929223706315807
22140,"Farmington, NM",52517,33555,0.6389359635927414
22180,"Fayetteville, NC",278145,200490,0.7208110877420051
22220,"Fayetteville-Springdale-Rogers, AR",137299,135930,0.990029060663224
22380,"Flagstaff, AZ",48326,34512,0.7141497330629475
22420,"Flint, MI",444341,382209,0.8601704546733252
22500,"Florence, SC",143078,90003,0.6290484910328632
22520,"Florence-Muscle Shoals, AL",117743,101971,0.866047238477022
22540,"Fond du Lac, WI",84567,84195,0.9956011210046471
22660,"Fort Collins, CO",89900,88661,0.9862180200222469
22900,"Fort Smith, AR-OK",139585,131078,0.9390550560590322
23060,"Fort Wayne, IN",303850,283442,0.9328352805660688
23420,"Fresno, CA",413053,372595,0.9020513106066291
23460,"Gadsden, AL",94144,81010,0.8604903127124405
23540,"Gainesville, FL",121071,95464,0.7884960064755392
23580,"Gainesville, GA",59405,53338,0.8978705496170356
23900,"Gettysburg, PA",56937,56248,0.987898905808174
24020,"Glens Falls, NY",102127,100981,0.9887786775289591
24140,"Goldsboro, NC",85408,56794,0.6649728362682653
24220,"Grand Forks, ND-MN",95537,93730,0.9810858620220438
24260,"Grand Island, NE",58409,58130,0.9952233388690099
24300,"Grand Junction, CO",54374,53841,0.9901975208739471
24340,"Grand Rapids-Kentwood, MI",624733,597288,0.956069232776242
24420,"Grants Pass, OR",35746,35400,0.9903205953113635
24500,"Great Falls, MT",81804,78778,0.9630091438071487
24540,"Greeley, CO",89297,87725,0.9823958251676989
24580,"Green Bay, WI",202758,200359,0.9881681610589964
24660,"Greensboro-High Point, NC",437350,351829,0.8044563850463016
24780,"Greenville, NC",73900,48202,0.6522598105548038
24860,"Greenville-Anderson, SC",454689,375434,0.8256940458203299
25060,"Gulfport-Biloxi, MS",248045,205722,0.8293737023523957
25180,"Hagerstown-Martinsburg, MD-WV",148732,143610,0.9655622192937633
25220,"Hammond, LA",65875,45093,0.6845237191650854
25260,"Hanford-Corcoran, CA",64610,58905,0.9117009750812568
25420,"Harrisburg-Carlisle, PA",410626,381278,0.9285286367643549
25500,"Harrisonburg, VA",62495,60989,0.9759020721657733
25540,"Hartford-East Hartford-Middletown, CT",1034993,970974,0.9381454753800267
25620,"Hattiesburg, MS",96125,72811,0.7574616384915475
25860,"Hickory-Lenoir-Morganton, NC",227402,209797,0.9225820353382995
25940,"Hilton Head Island-Bluffton, SC",63021,38959,0.6181907618095556
25980,"Hinesville, GA",21315,13958,0.6548440065681445
26140,"Homosassa Springs, FL",19196,17339,0.9032610960616795
26300,"Hot Springs, AR",54131,48896,0.9032901664480611
26380,"Houma-Thibodaux, LA",144990,123297,0.8503827850196565
26420,"Houston-The Woodlands-Sugar Land, TX",2195146,1750384,0.7973884197224239
26580,"Huntington-Ashland, WV-KY-OH",334410,326867,0.9774438563440089
26620,"Huntsville, AL",228239,192332,0.8426780699179369
26820,"Idaho Falls, ID",65794,64798,0.9848618415053044
26900,"Indianapolis-Carmel-Anderson, IN",1284322,1135075,0.8837931609051313
26980,"Iowa City, IA",91094,89812,0.9859266252442532
27060,"Ithaca, NY",76879,73834,0.9603923047906451
27100,"Jackson, MI",143274,134194,0.9366249284587573
27140,"Jackson, MS",383763,219280,0.5713943241010728
27180,"Jackson, TN",137927,103128,0.747699870221204
27260,"Jacksonville, FL",621519,484132,0.778949637903266
27340,"Jacksonville, NC",103126,86516,0.838934895176774
27500,"Janesville-Beloit, WI",131970,128399,0.9729408198833068
27620,"Jefferson City, MO",93814,88454,0.9428656703690281
27740,"Johnson City, TN",131753,128353,0.9741941359969033
27780,"Johnstown, PA",186785,183102,0.9802821425703349
27860,"Jonesboro, AR",78890,74803,0.9481936874128534
27900,"Joplin, MO",112753,111013,0.9845680381009818
27980,"Kahului-Wailuku-Lahaina, HI",46156,12610,0.273203917150533
28020,"Kalamazoo-Portage, MI",201550,190925,0.9472835524683701
28100,"Kankakee, IL",97250,85835,0.8826221079691516
28140,"Kansas City, MO-KS",1414786,1248740,0.8826352536708731
28420,"Kennewick-Richland, WA",93356,90461,0.9689896739363297
28660,"Killeen-Temple, TX",169117,146834,0.868239148045436
28700,"Kingsport-Bristol, TN-VA",241123,235374,0.9761573968472522
28740,"Kingston, NY",141241,135351,0.9582982278516862
28940,"Knoxville, TN",512220,480675,0.9384151341220569
29020,"Kokomo, IN",83198,79365,0.9539291809899276
29100,"La Crosse-Onalaska, WI-MN",98024,97627,0.9959499714355668
29180,"Lafayette, LA",294746,227005,0.7701716053822614
29200,"Lafayette-West Lafayette, IN",147079,144944,0.985483991596353
29340,"Lake Charles, LA",153609,121317,0.78977794269867
29420,"Lake Havasu City-Kingman, AZ",25857,24850,0.9610550334532235
29460,"Lakeland-Winter Haven, FL",227222,187440,0.8249201221712686
29540,"Lancaster, PA",319693,313735,0.9813633704835577
29620,"Lansing-East Lansing, MI",441498,423932,0.960212730295494
29700,"Laredo, TX",72859,72254,0.9916962900945662
29740,"Las Cruces, NM",69773,67445,0.9666346581055709
29820,"Las Vegas-Henderson-Paradise, NV",273288,244538,0.8947996253037089
29940,"Lawrence, KS",57932,53891,0.9302458054270524
30020,"Lawton, OK",114976,98544,0.8570832173671027
30140,"Lebanon, PA",99665,99161,0.9949430592484824
30300,"Lewiston, ID-WA",44175,43097,0.9755970571590266
30340,"Lewiston-Auburn, ME",91279,90959,0.9964942648363808
30460,"Lexington-Fayette, KY",266701,236005,0.8849048185046176
30620,"Lima, OH",111144,101639,0.9144803138271071
30700,"Lincoln, NE",182432,178615,0.9790771355902473
30780,"Little Rock-North Little Rock-Conway, AR",396462,327583,0.8262658211884115
30860,"Logan, UT-ID",49704,48993,0.9856953162723322
30980,"Longview, TX",175848,131136,0.7457349529138801
31020,"Longview, WA",68616,67819,0.9883846333216743
31080,"Los Angeles-Long Beach-Anaheim, CA",8452461,7388241,0.8740934740781413
31140,"Louisville/Jefferson County, KY-IN",942428,834408,0.8853811643966436
31180,"Lubbock, TX",197487,181880,0.9209720133477141
31340,"Lynchburg, VA",159986,127832,0.7990199142424962
31420,"Macon-Bibb County, GA",180597,113458,0.6282385643172367
31460,"Madera, CA",41519,37690,0.9077771622630603
31540,"Madison, WI",376442,370486,0.9841781735300524
31700,"Manchester-Nashua, NH",223941,222793,0.9948736497559625
31740,"Manhattan, KS",96654,87632,0.9066567343307054
31860,"Mankato, MN",76840,76499,0.9955622071837584
31900,"Mansfield, OH",129997,121127,0.931767656176681
32580,"McAllen-Edinburg-Mission, TX",181535,180095,0.9920676453576446
32780,"Medford, OR",94533,93614,0.9902785270752013
32820,"Memphis, TN-MS-AR",911123,551730,0.6055494153917748
32900,"Merced, CA",104629,96454,0.9218667864549981
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",968853,827097,0.85368678220535
33140,"Michigan City-La Porte, IN",105342,97980,0.9301133451045167
33220,"Midland, MI",63769,63219,0.9913751195722059
33260,"Midland, TX",70207,63213,0.9003803039582947
33340,"Milwaukee-Waukesha, WI",1403688,1288043,0.9176134582613801
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2063750,2012422,0.9751287704421563
33540,"Missoula, MT",58263,57321,0.9838319345038875
33660,"Mobile, AL",333549,225385,0.675717810576557
33700,"Modesto, CA",194506,189179,0.9726126700461682
33740,"Monroe, LA",166297,114686,0.689645634016248
33780,"Monroe, MI",118479,116220,0.9809333299572076
33860,"Montgomery, AL",238682,151202,0.6334872340603815
34060,"Morgantown, WV",89169,87619,0.982617277304893
34100,"Morristown, TN",77584,74446,0.9595535161889049
34580,"Mount Vernon-Anacortes, WA",52381,51370,0.9806991084553559
34620,"Muncie, IN",129219,121894,0.9433132898412772
34740,"Muskegon, MI",157426,139899,0.8886651506104456
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",94215,69251,0.7350315767128377
34900,"Napa, CA",79140,76950,0.9723275208491281
34940,"Naples-Marco Island, FL",38040,34706,0.9123554153522607
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",780966,654595,0.838186297482861
35100,"New Bern, NC",81800,57927,0.7081540342298288
35300,"New Haven-Milford, CT",744948,684743,0.9191822784946063
35380,"New Orleans-Metairie, LA",1144130,781467,0.6830229082359522
35620,"New York-Newark-Jersey City, NY-NJ-PA",17062309,14378381,0.8426984296205162
35660,"Niles, MI",163875,144803,0.8836186117467582
35840,"North Port-Sarasota-Bradenton, FL",217528,197302,0.9070188665367217
35980,"Norwich-New London, CT",230348,221073,0.9597348359872888
36100,"Ocala, FL",69030,50869,0.7369114877589454
