GEOID,NAME,NAMELSAD,LSAD,recordid,dam_name,nidid,county,river,city,distance,year_completed,owner_type,dam_type,purposes,nid_height,floodcontrol,floodcontrol_primary,height_category,owner_type_first
10180,"Abilene, TX","Abilene, TX Metro Area",M1,78643,VALLEY CREEK WS SCS SITE 17 DAM,TX02671,TAYLOR,TR-VALLEY CREEK,WINGATE,NA,1967,L,RE,C,28,TRUE,TRUE,C 15-30ft,L
10180,"Abilene, TX","Abilene, TX Metro Area",M1,78644,VALLEY CREEK WS SCS SITE 16 DAM,TX02672,TAYLOR,TR-VALLEY CREEK,WINGATE,NA,1967,L,RE,CPR,32,TRUE,TRUE,C 15-30ft,L
10180,"Abilene, TX","Abilene, TX Metro Area",M1,78645,VALLEY CREEK WS SCS SITE 3 DAM,TX02673,TAYLOR,TR-FISH CREEK,NONE,NA,1964,L,RE,CI,22,TRUE,TRUE,C 15-30ft,L
10180,"Abilene, TX","Abilene, TX Metro Area",M1,78646,VALLEY CREEK WS SCS SITE 9 DAM,TX02674,TAYLOR,COTTONWOOD CREEK,HAPPY VALLEY,NA,1966,L,RE,CPR,44,TRUE,TRUE,C 15-30ft,L
10180,"Abilene, TX","Abilene, TX Metro Area",M1,78647,VALLEY CREEK WS SCS SITE 8 DAM,TX02675,TAYLOR,TR-COTTONWOOD CREEK,HAPPY VALLEY,NA,1964,L,RE,CPR,28,TRUE,TRUE,C 15-30ft,L
10180,"Abilene, TX","Abilene, TX Metro Area",M1,78648,VALLEY CREEK WS SCS SITE 7 DAM,TX02676,TAYLOR,COTTONWOOD CREEK,HAPPY VALLEY,NA,1964,L,RE,C,36,TRUE,TRUE,C 15-30ft,L
10180,"Abilene, TX","Abilene, TX Metro Area",M1,78649,VALLEY CREEK WS SCS SITE 10 DAM,TX02677,TAYLOR,WEST FORK SPRING CREEK,WINGATE,NA,1966,L,RE,CP,35,TRUE,TRUE,C 15-30ft,L
10180,"Abilene, TX","Abilene, TX Metro Area",M1,78650,VALLEY CREEK WS SCS SITE 15 DAM,TX02678,TAYLOR,TR-SPRING CREEK,WINGATE,NA,1971,L,RE,C,30,TRUE,TRUE,C 15-30ft,L
10180,"Abilene, TX","Abilene, TX Metro Area",M1,78651,VALLEY CREEK WS SCS SITE 14 DAM,TX02679,TAYLOR,TR-SPRING CREEK,WINGATE,NA,1965,L,RE,C,30,TRUE,TRUE,C 15-30ft,L
10180,"Abilene, TX","Abilene, TX Metro Area",M1,78652,VALLEY CREEK WS SCS SITE 13A DAM,TX02680,TAYLOR,EAST FORK SPRING CREEK,WINGATE,NA,1973,L,RE,CPR,40,TRUE,TRUE,C 15-30ft,L
