agency_cd,site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,data_type_cd,parm_cd,stat_cd,begin_date,end_date,count_nu,state_cd,drain_area_va,cbsa_geoid,cbsa_name
USGS,08084000,"Clear Fk Brazos Rv at Nugent, TX",32.6901186,-99.6695326,12060102,dv,00060,00003,1924-03-01,2020-06-21,35177,48,2199,10180,"Abilene, TX"
USGS,08085500,"Clear Fk Brazos Rv at Ft Griffin, TX",32.93297778,-99.2153889,12060104,dv,00060,00003,1924-02-01,2020-06-21,35206,48,4026,10180,"Abilene, TX"
USGS,04202000,Cuyahoga River at Hiram Rapids OH,41.3406103,-81.1667664,04110002,dv,00060,00003,1927-08-05,2020-06-21,30729,39,151,10420,"Akron, OH"
USGS,04206000,Cuyahoga River at Old Portage OH,41.1356112,-81.5470622,04110002,dv,00060,00003,1921-10-01,2020-06-21,34903,39,404,10420,"Akron, OH"
USGS,02350512,"FLINT RIVER AT GA 32, NEAR OAKFIELD, GA",31.725,-84.0186111,03130006,dv,00060,00003,1929-10-01,2020-06-21,22790,13,3880,10500,"Albany, GA"
USGS,02352500,"FLINT RIVER AT ALBANY, GA",31.59416667,-84.1441667,03130008,dv,00060,00003,1901-10-01,2020-06-21,40350,13,5310,10500,"Albany, GA"
USGS,02353500,"ICHAWAYNOCHAWAY CREEK AT MILFORD, GA",31.38277778,-84.54638889,03130009,dv,00060,00003,1905-09-01,2020-06-21,30337,13,620,10500,"Albany, GA"
USGS,02354500,"CHICKASAWHATCHEE CREEK AT ELMODEL, GA",31.35055556,-84.4825,03130009,dv,00060,00003,1939-10-01,2020-06-21,12841,13,320,10500,"Albany, GA"
USGS,14158500,"MCKENZIE RIVER AT OUTLET OF CLEAR LAKE, OR",44.3609545,-121.9956172,17090004,dv,00060,00003,1912-10-01,2020-06-21,27657,41,92.4,10540,"Albany-Lebanon, OR"
USGS,14161500,"LOOKOUT CREEK NEAR BLUE RIVER, OR",44.2095708,-122.256733,17090004,dv,00060,00003,1949-10-01,2020-06-21,22939,41,24.1,10540,"Albany-Lebanon, OR"
USGS,14166000,"WILLAMETTE RIVER AT HARRISBURG, OR",44.27040126,-123.1737036,17090003,dv,00060,00003,1944-10-01,2020-06-21,27658,41,3420,10540,"Albany-Lebanon, OR"
USGS,14174000,"WILLAMETTE RIVER AT ALBANY, OR",44.6387328,-123.1067616,17090003,dv,00060,00003,1892-11-01,2020-06-21,46527,41,4840,10540,"Albany-Lebanon, OR"
USGS,14178000,"NO SANTIAM R BLW BOULDER CRK, NR DETROIT, OR",44.7067885,-122.1011859,17090005,dv,00060,00003,1907-01-01,2020-06-21,34537,41,216,10540,"Albany-Lebanon, OR"
USGS,14179000,"BREITENBUSH R ABV FRENCH CR NR DETROIT, OR.",44.75262179,-122.1289648,17090005,dv,00060,00003,1932-06-01,2020-06-21,28145,41,108,10540,"Albany-Lebanon, OR"
USGS,14181500,"NORTH SANTIAM RIVER AT NIAGARA, OR",44.75377778,-122.2974444,17090005,dv,00060,00003,1908-12-01,2020-06-21,33623,41,453,10540,"Albany-Lebanon, OR"
USGS,14182500,"LITTLE NORTH SANTIAM RIVER NEAR MEHAMA, OR",44.7915108,-122.5789738,17090005,dv,00060,00003,1931-10-01,2020-06-21,32407,41,112,10540,"Albany-Lebanon, OR"
USGS,14183000,"NORTH SANTIAM RIVER AT MEHAMA, OR",44.7890109,-122.6186967,17090005,dv,00060,00003,1905-07-01,2020-06-21,38187,41,654.35,10540,"Albany-Lebanon, OR"
USGS,14185000,"SOUTH SANTIAM RIVER BELOW CASCADIA, OR",44.39179225,-122.4975817,17090006,dv,00060,00003,1935-09-01,2020-06-21,30976,41,174,10540,"Albany-Lebanon, OR"
USGS,14187000,"WILEY CREEK NEAR FOSTER, OR",44.37234769,-122.6231384,17090006,dv,00060,00003,1947-10-01,2020-06-21,21012,41,51.8,10540,"Albany-Lebanon, OR"
USGS,14187500,"SOUTH SANTIAM RIVER AT WATERLOO, OR",44.4984564,-122.8234214,17090006,dv,00060,00003,1905-07-01,2020-06-21,35851,41,640,10540,"Albany-Lebanon, OR"
USGS,14189000,"SANTIAM RIVER AT JEFFERSON, OR",44.7147222,-123.01425,17090005,dv,00060,00003,1907-10-01,2020-06-21,32772,41,1790,10540,"Albany-Lebanon, OR"
USGS,14190500,"LUCKIAMUTE RIVER NEAR SUVER, OR",44.78317527,-123.2345435,17090003,dv,00060,00003,1905-08-01,2020-06-21,31494,41,240,10540,"Albany-Lebanon, OR"
USGS,01318500,HUDSON RIVER AT HADLEY NY,43.31888889,-73.8441667,02020001,dv,00060,00003,1921-07-15,2020-06-21,36137,36,1664,10580,"Albany-Schenectady-Troy, NY"
USGS,01321000,SACANDAGA RIVER NEAR HOPE NY,43.35277778,-74.27027778,02020002,dv,00060,00003,1911-09-15,2020-06-21,39728,36,491,10580,"Albany-Schenectady-Troy, NY"
USGS,01325000,SACANDAGA RIVER AT STEWARTS BRIDGE NR HADLEY NY,43.31138889,-73.8672222,02020002,dv,00060,00003,1907-09-13,2020-06-21,41190,36,1055,10580,"Albany-Schenectady-Troy, NY"
USGS,01327750,HUDSON RIVER AT FORT EDWARD NY,43.26944444,-73.5958333,02020003,dv,00060,00003,1899-01-01,2020-06-21,19544,36,2810,10580,"Albany-Schenectady-Troy, NY"
USGS,01329490,BATTEN KILL BELOW MILL AT BATTENVILLE NY,43.1086111,-73.4216667,02020003,dv,00060,00003,1922-10-01,2020-06-21,24919,36,396,10580,"Albany-Schenectady-Troy, NY"
USGS,01330000,GLOWEGEE CREEK AT WEST MILTON NY,43.03055556,-73.9272222,02020003,dv,00060,00003,1948-04-04,2020-06-21,16423,36,26,10580,"Albany-Schenectady-Troy, NY"
USGS,01334500,HOOSIC RIVER NEAR EAGLE BRIDGE NY,42.9386111,-73.3769444,02020003,dv,00060,00003,1910-08-13,2020-06-21,39646,36,510,10580,"Albany-Schenectady-Troy, NY"
USGS,01335754,HUDSON RIVER ABOVE LOCK 1 NEAR WATERFORD NY,42.82916667,-73.6661111,02020003,dv,00060,00003,1887-10-01,2020-06-21,41171,36,4605,10580,"Albany-Schenectady-Troy, NY"
USGS,01349000,OTSQUAGO CREEK AT FORT PLAIN NY,42.92925,-74.63288889,02020004,dv,00060,00003,1949-10-01,2020-06-21,16768,36,61,10580,"Albany-Schenectady-Troy, NY"
USGS,01350500,SCHOHARIE CREEK AT MIDDLEBURGH NY,42.59944444,-74.3361111,02020005,dv,00060,00003,1927-07-01,2020-06-21,5409,36,534,10580,"Albany-Schenectady-Troy, NY"
USGS,01351500,SCHOHARIE CREEK AT BURTONSVILLE NY,42.8,-74.26277778,02020005,dv,00060,00003,1939-10-01,2020-06-21,29485,36,886,10580,"Albany-Schenectady-Troy, NY"
USGS,01357499,MOHAWK RIVER DIVERSION AT CRESCENT DAM NY,42.8028554,-73.7026186,02020004,dv,00060,00003,1925-10-01,2020-04-03,34519,36,NA,10580,"Albany-Schenectady-Troy, NY"
USGS,01357500,MOHAWK RIVER AT COHOES NY,42.78538889,-73.70777778,02020004,dv,00060,00003,1917-12-01,2020-06-21,37459,36,3450,10580,"Albany-Schenectady-Troy, NY"
USGS,01358000,HUDSON RIVER AT GREEN ISLAND NY,42.7522222,-73.68888889,02020003,dv,00060,00003,1946-02-21,2020-06-21,26190,36,8090,10580,"Albany-Schenectady-Troy, NY"
USGS,08279000,"EMBUDO CREEK AT DIXON, NM",36.21085556,-105.9136306,13020101,dv,00060,00003,1923-10-01,2020-06-21,31817,35,305,10740,"Albuquerque, NM"
USGS,08279500,"RIO GRANDE AT EMBUDO, NM",36.20555556,-105.9639722,13020101,dv,00060,00003,1889-01-01,2020-06-21,44730,35,10400,10740,"Albuquerque, NM"
USGS,08290000,"RIO CHAMA NEAR CHAMITA, NM",36.07355556,-106.1116944,13020102,dv,00060,00003,1912-10-01,2020-06-20,36491,35,3144,10740,"Albuquerque, NM"
USGS,08291000,"SANTA CRUZ RIVER NEAR CUNDIYO, NM",35.9647222,-105.9047222,13020101,dv,00060,00003,1932-10-01,2020-06-21,32030,35,86,10740,"Albuquerque, NM"
USGS,08302500,"TESUQUE CREEK ABOVE DIVERSIONS NEAR SANTA FE, NM",35.73955556,-105.9049528,13020101,dv,00060,00003,1936-04-01,2020-06-21,13923,35,11.7,10740,"Albuquerque, NM"
USGS,08313000,"RIO GRANDE AT OTOWI BRIDGE, NM",35.8745,-106.1424444,13020101,dv,00060,00003,1895-02-01,2020-06-21,43058,35,14300,10740,"Albuquerque, NM"
USGS,08316000,"SANTA FE RIVER NEAR SANTA FE, NM",35.68644444,-105.8436111,13020201,dv,00060,00003,1913-02-01,2020-06-21,38881,35,18.2,10740,"Albuquerque, NM"
USGS,08319000,"RIO GRANDE AT SAN FELIPE, NM",35.4445833,-106.4398333,13020201,dv,00060,00003,1927-01-01,2020-06-21,33869,35,16100,10740,"Albuquerque, NM"
USGS,08324000,"JEMEZ RIVER NEAR JEMEZ, NM",35.6619833,-106.7434389,13020202,dv,00060,00003,1936-10-01,2020-06-21,26622,35,470,10740,"Albuquerque, NM"
USGS,08340500,"ARROYO CHICO NR GUADALUPE, NM",35.59225,-107.1894444,13020204,dv,00060,00003,1943-10-01,2020-06-21,20878,35,1390,10740,"Albuquerque, NM"
USGS,08353000,"RIO PUERCO NEAR BERNARDO, NM",34.41027778,-106.8544444,13020204,dv,00060,00003,1939-11-01,2020-06-21,29454,35,7350,10740,"Albuquerque, NM"
USGS,08378500,"PECOS RIVER NEAR PECOS, NM",35.70835,-105.6827028,13060001,dv,00060,00003,1919-10-01,2020-06-21,34081,35,189,10740,"Albuquerque, NM"
USGS,08380500,"GALLINAS CREEK NEAR MONTEZUMA, NM",35.65199444,-105.3188306,13060001,dv,00060,00003,1926-09-01,2020-06-21,34260,35,84,10740,"Albuquerque, NM"
USGS,07373000,"Big Creek at Pollock, LA",31.5362873,-92.4084714,08040304,dv,00060,00003,1942-01-01,2020-06-21,28662,22,51,10780,"Alexandria, LA"
USGS,07382000,"Bayou Cocodrie near Clearwater, LA",31.00027778,-92.3802778,08080102,dv,00060,00003,1922-06-01,2020-06-21,30448,22,240,10780,"Alexandria, LA"
USGS,08013000,"Calcasieu River nr Glenmora, LA",30.99666667,-92.6736111,08080203,dv,00060,00003,1943-09-01,2020-06-21,28039,22,499,10780,"Alexandria, LA"
USGS,01396500,South Branch Raritan River near High Bridge NJ,40.67777778,-74.8791667,02030105,dv,00060,00003,1918-10-01,2020-06-21,37155,34,65.3,10900,"Allentown-Bethlehem-Easton, PA-NJ"
USGS,01397000,South Branch Raritan River at Stanton NJ,40.5722222,-74.8680556,02030105,dv,00060,00003,1903-10-01,2020-06-21,37886,34,147,10900,"Allentown-Bethlehem-Easton, PA-NJ"
USGS,01398000,Neshanic River at Reaville NJ,40.4733333,-74.82777778,02030105,dv,00060,00003,1930-10-01,2020-06-21,32772,34,25.7,10900,"Allentown-Bethlehem-Easton, PA-NJ"
