GEOID,NAMELSAD,LSAD
12020,"Athens-Clarke County, GA Metro Area",M1
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",M1
12100,"Atlantic City-Hammonton, NJ Metro Area",M1
12120,"Atmore, AL Micro Area",M2
12140,"Auburn, IN Micro Area",M2
12180,"Auburn, NY Micro Area",M2
12220,"Auburn-Opelika, AL Metro Area",M1
12260,"Augusta-Richmond County, GA-SC Metro Area",M1
12300,"Augusta-Waterville, ME Micro Area",M2
12380,"Austin, MN Micro Area",M2
12420,"Austin-Round Rock-Georgetown, TX Metro Area",M1
12460,"Bainbridge, GA Micro Area",M2
12540,"Bakersfield, CA Metro Area",M1
12580,"Baltimore-Columbia-Towson, MD Metro Area",M1
12620,"Bangor, ME Metro Area",M1
12660,"Baraboo, WI Micro Area",M2
12680,"Bardstown, KY Micro Area",M2
12700,"Barnstable Town, MA Metro Area",M1
12740,"Barre, VT Micro Area",M2
12780,"Bartlesville, OK Micro Area",M2
12860,"Batavia, NY Micro Area",M2
12900,"Batesville, AR Micro Area",M2
12940,"Baton Rouge, LA Metro Area",M1
12980,"Battle Creek, MI Metro Area",M1
13020,"Bay City, MI Metro Area",M1
13060,"Bay City, TX Micro Area",M2
13100,"Beatrice, NE Micro Area",M2
13140,"Beaumont-Port Arthur, TX Metro Area",M1
13180,"Beaver Dam, WI Micro Area",M2
13220,"Beckley, WV Metro Area",M1
13260,"Bedford, IN Micro Area",M2
13300,"Beeville, TX Micro Area",M2
13340,"Bellefontaine, OH Micro Area",M2
13380,"Bellingham, WA Metro Area",M1
13420,"Bemidji, MN Micro Area",M2
13460,"Bend, OR Metro Area",M1
13500,"Bennettsville, SC Micro Area",M2
13540,"Bennington, VT Micro Area",M2
13620,"Berlin, NH Micro Area",M2
13660,"Big Rapids, MI Micro Area",M2
13700,"Big Spring, TX Micro Area",M2
13720,"Big Stone Gap, VA Micro Area",M2
13740,"Billings, MT Metro Area",M1
13780,"Binghamton, NY Metro Area",M1
13820,"Birmingham-Hoover, AL Metro Area",M1
13900,"Bismarck, ND Metro Area",M1
13940,"Blackfoot, ID Micro Area",M2
13980,"Blacksburg-Christiansburg, VA Metro Area",M1
14010,"Bloomington, IL Metro Area",M1
14020,"Bloomington, IN Metro Area",M1
14100,"Bloomsburg-Berwick, PA Metro Area",M1
14140,"Bluefield, WV-VA Micro Area",M2
14180,"Blytheville, AR Micro Area",M2
14220,"Bogalusa, LA Micro Area",M2
14260,"Boise City, ID Metro Area",M1
14300,"Bonham, TX Micro Area",M2
14380,"Boone, NC Micro Area",M2
14420,"Borger, TX Micro Area",M2
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",M1
14500,"Boulder, CO Metro Area",M1
14540,"Bowling Green, KY Metro Area",M1
14580,"Bozeman, MT Micro Area",M2
14620,"Bradford, PA Micro Area",M2
14660,"Brainerd, MN Micro Area",M2
14700,"Branson, MO Micro Area",M2
14720,"Breckenridge, CO Micro Area",M2
14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",M1
14780,"Brenham, TX Micro Area",M2
14820,"Brevard, NC Micro Area",M2
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",M1
15020,"Brookhaven, MS Micro Area",M2
15060,"Brookings, OR Micro Area",M2
15100,"Brookings, SD Micro Area",M2
15140,"Brownsville, TN Micro Area",M2
15180,"Brownsville-Harlingen, TX Metro Area",M1
15220,"Brownwood, TX Micro Area",M2
15260,"Brunswick, GA Metro Area",M1
15340,"Bucyrus-Galion, OH Micro Area",M2
15380,"Buffalo-Cheektowaga, NY Metro Area",M1
15420,"Burley, ID Micro Area",M2
17140,"Cincinnati, OH-KY-IN Metro Area",M1
17220,"Clarksburg, WV Micro Area",M2
17260,"Clarksdale, MS Micro Area",M2
17300,"Clarksville, TN-KY Metro Area",M1
17340,"Clearlake, CA Micro Area",M2
17380,"Cleveland, MS Micro Area",M2
17420,"Cleveland, TN Metro Area",M1
17460,"Cleveland-Elyria, OH Metro Area",M1
17500,"Clewiston, FL Micro Area",M2
17540,"Clinton, IA Micro Area",M2
17580,"Clovis, NM Micro Area",M2
17620,"Coamo, PR Micro Area",M2
17640,"Coco, PR Micro Area",M2
17660,"Coeur d'Alene, ID Metro Area",M1
17700,"Coffeyville, KS Micro Area",M2
17740,"Coldwater, MI Micro Area",M2
17780,"College Station-Bryan, TX Metro Area",M1
17820,"Colorado Springs, CO Metro Area",M1
17860,"Columbia, MO Metro Area",M1
17900,"Columbia, SC Metro Area",M1
17980,"Columbus, GA-AL Metro Area",M1
