GEOID,NAME,n_dams,max_dam_height
10180,"Abilene, TX",40,75
10380,"Aguadilla-Isabela, PR",2,52
10420,"Akron, OH",4,83
10540,"Albany-Lebanon, OR",3,463
10580,"Albany-Schenectady-Troy, NY",9,100
10740,"Albuquerque, NM",38,251
10900,"Allentown-Bethlehem-Easton, PA-NJ",11,239
11020,"Altoona, PA",1,17
11100,"Amarillo, TX",9,85
11180,"Ames, IA",4,19
11500,"Anniston-Oxford, AL",7,91
11540,"Appleton, WI",9,28
11700,"Asheville, NC",5,142
12020,"Athens-Clarke County, GA",18,53
12060,"Atlanta-Sandy Springs-Alpharetta, GA",174,231
12100,"Atlantic City-Hammonton, NJ",1,14
12260,"Augusta-Richmond County, GA-SC",10,39
12420,"Austin-Round Rock-Georgetown, TX",98,278
12540,"Bakersfield, CA",5,185
12580,"Baltimore-Columbia-Towson, MD",35,73
12620,"Bangor, ME",26,66
12940,"Baton Rouge, LA",3,86
13380,"Bellingham, WA",10,540
13740,"Billings, MT",1,42.3
13780,"Binghamton, NY",25,95
13820,"Birmingham-Hoover, AL",7,142
13900,"Bismarck, ND",7,71
14010,"Bloomington, IL",6,11
14020,"Bloomington, IN",2,93
14100,"Bloomsburg-Berwick, PA",2,70.4
14260,"Boise City, ID",8,340
14460,"Boston-Cambridge-Newton, MA-NH",56,38
14500,"Boulder, CO",1,24
14540,"Bowling Green, KY",9,167
14740,"Bremerton-Silverdale-Port Orchard, WA",3,47
14860,"Bridgeport-Stamford-Norwalk, CT",5,25.2
15380,"Buffalo-Cheektowaga, NY",4,25
15540,"Burlington-South Burlington, VT",1,13
15680,"California-Lexington Park, MD",2,38
15940,"Canton-Massillon, OH",4,87
15980,"Cape Coral-Fort Myers, FL",1,31
16020,"Cape Girardeau, MO-IL",10,38
16060,"Carbondale-Marion, IL",6,88
16180,"Carson City, NV",2,33
16220,"Casper, WY",6,50
16300,"Cedar Rapids, IA",2,73
16580,"Champaign-Urbana, IL",1,15
16620,"Charleston, WV",14,92
16700,"Charleston-North Charleston, SC",6,138
16740,"Charlotte-Concord-Gastonia, NC-SC",43,57
16820,"Charlottesville, VA",12,60
16860,"Chattanooga, TN-GA",6,129
16940,"Cheyenne, WY",7,38
16980,"Chicago-Naperville-Elgin, IL-IN-WI",105,116
17020,"Chico, CA",4,770
17140,"Cincinnati, OH-KY-IN",18,205
17300,"Clarksville, TN-KY",27,59
17420,"Cleveland, TN",3,135
17460,"Cleveland-Elyria, OH",11,89
17660,"Coeur d'Alene, ID",1,14.3
17780,"College Station-Bryan, TX",12,80
17820,"Colorado Springs, CO",53,82
17860,"Columbia, MO",56,54
17900,"Columbia, SC",19,54
17980,"Columbus, GA-AL",14,59
18140,"Columbus, OH",41,93
18580,"Corpus Christi, TX",1,20
19060,"Cumberland, MD-WV",32,101
19100,"Dallas-Fort Worth-Arlington, TX",510,141
