CBSA,MDIV,STCOU,NAME,LSAD,population,year,estimate_type
10180,NA,NA,"Abilene, TX",Metropolitan Statistical Area,165252,2010,CENSUS
10180,NA,NA,"Abilene, TX",Metropolitan Statistical Area,165246,2010,ESTIMATESBASE
10180,NA,NA,"Abilene, TX",Metropolitan Statistical Area,165583,2010,POPESTIMATE
10180,NA,NA,"Abilene, TX",Metropolitan Statistical Area,166616,2011,POPESTIMATE
10180,NA,NA,"Abilene, TX",Metropolitan Statistical Area,167447,2012,POPESTIMATE
10180,NA,NA,"Abilene, TX",Metropolitan Statistical Area,167472,2013,POPESTIMATE
10180,NA,NA,"Abilene, TX",Metropolitan Statistical Area,168355,2014,POPESTIMATE
10180,NA,NA,"Abilene, TX",Metropolitan Statistical Area,169704,2015,POPESTIMATE
10180,NA,NA,"Abilene, TX",Metropolitan Statistical Area,170018,2016,POPESTIMATE
10180,NA,NA,"Abilene, TX",Metropolitan Statistical Area,170516,2017,POPESTIMATE
10180,NA,NA,"Abilene, TX",Metropolitan Statistical Area,171451,2018,POPESTIMATE
10180,NA,48059,"Callahan County, TX",County or equivalent,13544,2010,CENSUS
10180,NA,48059,"Callahan County, TX",County or equivalent,13546,2010,ESTIMATESBASE
10180,NA,48059,"Callahan County, TX",County or equivalent,13513,2010,POPESTIMATE
10180,NA,48059,"Callahan County, TX",County or equivalent,13511,2011,POPESTIMATE
10180,NA,48059,"Callahan County, TX",County or equivalent,13488,2012,POPESTIMATE
10180,NA,48059,"Callahan County, TX",County or equivalent,13501,2013,POPESTIMATE
10180,NA,48059,"Callahan County, TX",County or equivalent,13506,2014,POPESTIMATE
10180,NA,48059,"Callahan County, TX",County or equivalent,13591,2015,POPESTIMATE
10180,NA,48059,"Callahan County, TX",County or equivalent,13789,2016,POPESTIMATE
10180,NA,48059,"Callahan County, TX",County or equivalent,13968,2017,POPESTIMATE
10180,NA,48059,"Callahan County, TX",County or equivalent,13994,2018,POPESTIMATE
10180,NA,48253,"Jones County, TX",County or equivalent,20202,2010,CENSUS
10180,NA,48253,"Jones County, TX",County or equivalent,20192,2010,ESTIMATESBASE
10180,NA,48253,"Jones County, TX",County or equivalent,20237,2010,POPESTIMATE
10180,NA,48253,"Jones County, TX",County or equivalent,20266,2011,POPESTIMATE
10180,NA,48253,"Jones County, TX",County or equivalent,19870,2012,POPESTIMATE
10180,NA,48253,"Jones County, TX",County or equivalent,20034,2013,POPESTIMATE
10180,NA,48253,"Jones County, TX",County or equivalent,19846,2014,POPESTIMATE
10180,NA,48253,"Jones County, TX",County or equivalent,19972,2015,POPESTIMATE
10180,NA,48253,"Jones County, TX",County or equivalent,19969,2016,POPESTIMATE
10180,NA,48253,"Jones County, TX",County or equivalent,19852,2017,POPESTIMATE
10180,NA,48253,"Jones County, TX",County or equivalent,19817,2018,POPESTIMATE
10180,NA,48441,"Taylor County, TX",County or equivalent,131506,2010,CENSUS
10180,NA,48441,"Taylor County, TX",County or equivalent,131508,2010,ESTIMATESBASE
10180,NA,48441,"Taylor County, TX",County or equivalent,131833,2010,POPESTIMATE
10180,NA,48441,"Taylor County, TX",County or equivalent,132839,2011,POPESTIMATE
10180,NA,48441,"Taylor County, TX",County or equivalent,134089,2012,POPESTIMATE
10180,NA,48441,"Taylor County, TX",County or equivalent,133937,2013,POPESTIMATE
10180,NA,48441,"Taylor County, TX",County or equivalent,135003,2014,POPESTIMATE
10180,NA,48441,"Taylor County, TX",County or equivalent,136141,2015,POPESTIMATE
10180,NA,48441,"Taylor County, TX",County or equivalent,136260,2016,POPESTIMATE
10180,NA,48441,"Taylor County, TX",County or equivalent,136696,2017,POPESTIMATE
10180,NA,48441,"Taylor County, TX",County or equivalent,137640,2018,POPESTIMATE
10420,NA,NA,"Akron, OH",Metropolitan Statistical Area,703200,2010,CENSUS
10420,NA,NA,"Akron, OH",Metropolitan Statistical Area,703203,2010,ESTIMATESBASE
10420,NA,NA,"Akron, OH",Metropolitan Statistical Area,703035,2010,POPESTIMATE
10420,NA,NA,"Akron, OH",Metropolitan Statistical Area,703123,2011,POPESTIMATE
10420,NA,NA,"Akron, OH",Metropolitan Statistical Area,702080,2012,POPESTIMATE
10420,NA,NA,"Akron, OH",Metropolitan Statistical Area,703625,2013,POPESTIMATE
10420,NA,NA,"Akron, OH",Metropolitan Statistical Area,704921,2014,POPESTIMATE
10420,NA,NA,"Akron, OH",Metropolitan Statistical Area,704448,2015,POPESTIMATE
10420,NA,NA,"Akron, OH",Metropolitan Statistical Area,703690,2016,POPESTIMATE
10420,NA,NA,"Akron, OH",Metropolitan Statistical Area,704367,2017,POPESTIMATE
10420,NA,NA,"Akron, OH",Metropolitan Statistical Area,704845,2018,POPESTIMATE
10420,NA,39133,"Portage County, OH",County or equivalent,161419,2010,CENSUS
10420,NA,39133,"Portage County, OH",County or equivalent,161425,2010,ESTIMATESBASE
10420,NA,39133,"Portage County, OH",County or equivalent,161389,2010,POPESTIMATE
10420,NA,39133,"Portage County, OH",County or equivalent,161857,2011,POPESTIMATE
10420,NA,39133,"Portage County, OH",County or equivalent,161375,2012,POPESTIMATE
10420,NA,39133,"Portage County, OH",County or equivalent,161691,2013,POPESTIMATE
10420,NA,39133,"Portage County, OH",County or equivalent,162459,2014,POPESTIMATE
10420,NA,39133,"Portage County, OH",County or equivalent,162615,2015,POPESTIMATE
10420,NA,39133,"Portage County, OH",County or equivalent,162595,2016,POPESTIMATE
10420,NA,39133,"Portage County, OH",County or equivalent,162625,2017,POPESTIMATE
10420,NA,39133,"Portage County, OH",County or equivalent,162927,2018,POPESTIMATE
10420,NA,39153,"Summit County, OH",County or equivalent,541781,2010,CENSUS
10420,NA,39153,"Summit County, OH",County or equivalent,541778,2010,ESTIMATESBASE
10420,NA,39153,"Summit County, OH",County or equivalent,541646,2010,POPESTIMATE
10420,NA,39153,"Summit County, OH",County or equivalent,541266,2011,POPESTIMATE
10420,NA,39153,"Summit County, OH",County or equivalent,540705,2012,POPESTIMATE
10420,NA,39153,"Summit County, OH",County or equivalent,541934,2013,POPESTIMATE
10420,NA,39153,"Summit County, OH",County or equivalent,542462,2014,POPESTIMATE
10420,NA,39153,"Summit County, OH",County or equivalent,541833,2015,POPESTIMATE
10420,NA,39153,"Summit County, OH",County or equivalent,541095,2016,POPESTIMATE
10420,NA,39153,"Summit County, OH",County or equivalent,541742,2017,POPESTIMATE
10420,NA,39153,"Summit County, OH",County or equivalent,541918,2018,POPESTIMATE
10500,NA,NA,"Albany, GA",Metropolitan Statistical Area,157308,2010,CENSUS
10500,NA,NA,"Albany, GA",Metropolitan Statistical Area,157493,2010,ESTIMATESBASE
10500,NA,NA,"Albany, GA",Metropolitan Statistical Area,157589,2010,POPESTIMATE
