cbsacode,statename,fipsstatecode,cbsatitle
33860,Alabama,01,"Montgomery, AL"
19300,Alabama,01,"Daphne-Fairhope-Foley, AL"
13820,Alabama,01,"Birmingham-Hoover, AL"
11500,Alabama,01,"Anniston-Oxford-Jacksonville, AL"
22520,Alabama,01,"Florence-Muscle Shoals, AL"
23460,Alabama,01,"Gadsden, AL"
20020,Alabama,01,"Dothan, AL"
46220,Alabama,01,"Tuscaloosa, AL"
19460,Alabama,01,"Decatur, AL"
12220,Alabama,01,"Auburn-Opelika, AL"
26620,Alabama,01,"Huntsville, AL"
33660,Alabama,01,"Mobile, AL"
17980,Alabama,01,"Columbus, GA-AL"
11260,Alaska,02,"Anchorage, AK"
21820,Alaska,02,"Fairbanks, AK"
43420,Arizona,04,"Sierra Vista-Douglas, AZ"
22380,Arizona,04,"Flagstaff, AZ"
38060,Arizona,04,"Phoenix-Mesa-Scottsdale, AZ"
29420,Arizona,04,"Lake Havasu City-Kingman, AZ"
46060,Arizona,04,"Tucson, AZ"
39140,Arizona,04,"Prescott, AZ"
49740,Arizona,04,"Yuma, AZ"
22220,Arkansas,05,"Fayetteville-Springdale-Rogers, AR-MO"
38220,Arkansas,05,"Pine Bluff, AR"
27860,Arkansas,05,"Jonesboro, AR"
22900,Arkansas,05,"Fort Smith, AR-OK"
32820,Arkansas,05,"Memphis, TN-MS-AR"
30780,Arkansas,05,"Little Rock-North Little Rock-Conway, AR"
26300,Arkansas,05,"Hot Springs, AR"
45500,Arkansas,05,"Texarkana, TX-AR"
41860,California,06,"San Francisco-Oakland-Hayward, CA"
17020,California,06,"Chico, CA"
40900,California,06,"Sacramento--Roseville--Arden-Arcade, CA"
23420,California,06,"Fresno, CA"
20940,California,06,"El Centro, CA"
12540,California,06,"Bakersfield, CA"
25260,California,06,"Hanford-Corcoran, CA"
31080,California,06,"Los Angeles-Long Beach-Anaheim, CA"
31460,California,06,"Madera, CA"
32900,California,06,"Merced, CA"
41500,California,06,"Salinas, CA"
34900,California,06,"Napa, CA"
40140,California,06,"Riverside-San Bernardino-Ontario, CA"
41940,California,06,"San Jose-Sunnyvale-Santa Clara, CA"
41740,California,06,"San Diego-Carlsbad, CA"
44700,California,06,"Stockton-Lodi, CA"
42020,California,06,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
42200,California,06,"Santa Maria-Santa Barbara, CA"
42100,California,06,"Santa Cruz-Watsonville, CA"
39820,California,06,"Redding, CA"
46700,California,06,"Vallejo-Fairfield, CA"
42220,California,06,"Santa Rosa, CA"
33700,California,06,"Modesto, CA"
49700,California,06,"Yuba City, CA"
47300,California,06,"Visalia-Porterville, CA"
37100,California,06,"Oxnard-Thousand Oaks-Ventura, CA"
19740,Colorado,08,"Denver-Aurora-Lakewood, CO"
14500,Colorado,08,"Boulder, CO"
17820,Colorado,08,"Colorado Springs, CO"
22660,Colorado,08,"Fort Collins, CO"
24300,Colorado,08,"Grand Junction, CO"
39380,Colorado,08,"Pueblo, CO"
24540,Colorado,08,"Greeley, CO"
14860,Connecticut,09,"Bridgeport-Stamford-Norwalk, CT"
25540,Connecticut,09,"Hartford-West Hartford-East Hartford, CT"
35300,Connecticut,09,"New Haven-Milford, CT"
35980,Connecticut,09,"Norwich-New London, CT"
49340,Connecticut,09,"Worcester, MA-CT"
20100,Delaware,10,"Dover, DE"
37980,Delaware,10,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
41540,Delaware,10,"Salisbury, MD-DE"
47900,District of Columbia,11,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
23540,Florida,12,"Gainesville, FL"
27260,Florida,12,"Jacksonville, FL"
37460,Florida,12,"Panama City, FL"
37340,Florida,12,"Palm Bay-Melbourne-Titusville, FL"
33100,Florida,12,"Miami-Fort Lauderdale-West Palm Beach, FL"
39460,Florida,12,"Punta Gorda, FL"
26140,Florida,12,"Homosassa Springs, FL"
34940,Florida,12,"Naples-Immokalee-Marco Island, FL"
37860,Florida,12,"Pensacola-Ferry Pass-Brent, FL"
19660,Florida,12,"Deltona-Daytona Beach-Ormond Beach, FL"
45220,Florida,12,"Tallahassee, FL"
45300,Florida,12,"Tampa-St. Petersburg-Clearwater, FL"
42700,Florida,12,"Sebring, FL"
42680,Florida,12,"Sebastian-Vero Beach, FL"
36740,Florida,12,"Orlando-Kissimmee-Sanford, FL"
15980,Florida,12,"Cape Coral-Fort Myers, FL"
35840,Florida,12,"North Port-Sarasota-Bradenton, FL"
36100,Florida,12,"Ocala, FL"
38940,Florida,12,"Port St. Lucie, FL"
18880,Florida,12,"Crestview-Fort Walton Beach-Destin, FL"
29460,Florida,12,"Lakeland-Winter Haven, FL"
45540,Florida,12,"The Villages, FL"
10500,Georgia,13,"Albany, GA"
12060,Georgia,13,"Atlanta-Sandy Springs-Roswell, GA"
31420,Georgia,13,"Macon, GA"
15260,Georgia,13,"Brunswick, GA"
46660,Georgia,13,"Valdosta, GA"
42340,Georgia,13,"Savannah, GA"
12260,Georgia,13,"Augusta-Richmond County, GA-SC"
16860,Georgia,13,"Chattanooga, TN-GA"
17980,Georgia,13,"Columbus, GA-AL"
12020,Georgia,13,"Athens-Clarke County, GA"
40660,Georgia,13,"Rome, GA"
23580,Georgia,13,"Gainesville, GA"
47580,Georgia,13,"Warner Robins, GA"
